EmployeeID,Name,Department,Age,Salary,Experience,City
101,Arati,IT,24.0,55000.0,2.0,Pune
102,Rahul,HR,30.0,45000.0,5.0,Mumbai
103,Sneha,Sales,27.0,60000.0,3.0,Pune
104,Amit,IT,35.0,75000.0,8.0,Bangalore
105,Priya,Finance,29.0,65000.0,6.0,Delhi
106,Karan,HR,32.0,50000.0,7.0,Mumbai
107,Neha,Sales,26.0,58000.0,2.0,Hyderabad
108,Rohit,IT,40.0,90000.0,12.0,Pune
109,Anjali,Finance,31.0,70000.0,7.0,Delhi
110,Vikas,Marketing,28.0,48000.0,4.0,Bangalore
111,Pooja,IT,,62000.0,5.0,Pune
112,Manish,HR,29.0,,4.0,Mumbai
113,Kavita,Sales,27.0,59000.0,,Hyderabad
114,Raj,Finance,33.0,72000.0,8.0,
115,Simran,Marketing,25.0,47000.0,2.0,Delhi
116,Aakash,IT,38.0,85000.0,10.0,Bangalore
117,Meena,HR,31.0,53000.0,6.0,Pune
118,Sanjay,Sales,29.0,61000.0,5.0,Mumbai
119,Ritu,Finance,34.0,78000.0,9.0,Delhi
120,Deepak,Marketing,30.0,52000.0,5.0,Bangalore
