EmployeeID,Name,Department,Age,Salary,Experience,City
101,Arati,IT,24,55000,2,Pune
102,Rahul,HR,30,45000,5,Mumbai
103,Sneha,Sales,27,60000,3,Pune
104,Amit,IT,35,75000,8,Bangalore
105,Priya,Finance,29,65000,6,Delhi
106,Karan,HR,32,50000,7,Mumbai
107,Neha,Sales,26,58000,2,Hyderabad
108,Rohit,IT,40,90000,12,Pune
109,Anjali,Finance,31,70000,7,Delhi
110,Vikas,Marketing,28,48000,4,Bangalore
111,Pooja,IT,,62000,5,Pune
112,Manish,HR,29,,4,Mumbai
113,Kavita,Sales,27,59000,,Hyderabad
114,Raj,Finance,33,72000,8,
115,Simran,Marketing,25,47000,2,Delhi
116,Aakash,IT,38,85000,10,Bangalore
117,Meena,HR,31,53000,6,Pune
118,Sanjay,Sales,29,61000,5,Mumbai
119,Ritu,Finance,34,78000,9,Delhi
120,Deepak,Marketing,30,52000,5,Bangalore
